Member_number,itemDescription,Date
3051,onions,23-01-2015
2630,fruit/vegetable juice,15-02-2015
4182,specialty bar,18-06-2015
1524,soda,5/3/2015
2165,yogurt,6/9/2015
3710,yogurt,15-07-2015
1859,beef,12/4/2015
1682,seasonal products,1/11/2015
3682,shopping bags,2/1/2015
1866,pastry,13-07-2015
1764,soda,15-11-2015
2016,berries,15-08-2015
3758,yogurt,6/3/2015
1380,long life bakery product,9/4/2015
3063,whipped/sour cream,28-10-2015
4782,domestic eggs,16-08-2015
3677,pet care,21-04-2015
2315,shopping bags,15-09-2015
3548,spread cheese,11/6/2015
3198,white bread,8/5/2015
1436,chocolate marshmallow,1/3/2015
4874,dessert,23-12-2015
4002,whole milk,28-08-2015
2911,other vegetables,14-07-2015
1611,other vegetables,4/4/2015
2561,white wine,19-08-2015
2343,beverages,30-05-2015
1021,baking powder,7/11/2015
3484,white bread,15-05-2015
4378,rolls/buns,4/5/2015
1751,pip fruit,25-03-2015
1730,whole milk,24-01-2015
4669,whipped/sour cream,25-06-2015
1184,sweet spreads,16-06-2015
4793,soda,4/11/2015
4600,baking powder,12/2/2015
3966,whole milk,11/1/2015
3017,soft cheese,22-09-2015
1834,canned fish,22-11-2015
4508,candy,15-06-2015
2879,newspapers,26-05-2015
4643,coffee,12/3/2015
3757,brown bread,3/2/2015
1486,dish cleaner,20-08-2015
3018,soda,18-01-2015
3600,other vegetables,17-08-2015
1239,whole milk,24-01-2015
1315,chocolate,7/11/2015
1654,rolls/buns,28-09-2015
3551,pastry,24-07-2015
2861,whole milk,2/12/2015
1170,whipped/sour cream,9/10/2015
1351,other vegetables,26-02-2015
2645,rolls/buns,27-06-2015
4202,other vegetables,2/5/2015
2653,other vegetables,2/3/2015
3961,finished products,5/3/2015
2441,yogurt,31-05-2015
3637,soft cheese,22-12-2015
2329,whipped/sour cream,15-07-2015
3858,soda,27-03-2015
4294,bottled beer,2/3/2015
4765,curd,1/7/2015
4017,yogurt,11/10/2015
4855,sweet spreads,1/5/2015
2673,canned beer,10/12/2015
3352,rolls/buns,2/7/2015
1391,yogurt,21-08-2015
4352,other vegetables,29-12-2015
1298,Instant food products,27-07-2015
1618,whole milk,2/8/2015
2433,other vegetables,21-06-2015
4992,pip fruit,1/3/2015
3515,root vegetables,21-04-2015
1786,citrus fruit,10/2/2015
3844,other vegetables,27-06-2015
3914,cake bar,8/1/2015
4859,soda,10/5/2015
2747,curd,30-08-2015
4172,soda,8/10/2015
1796,other vegetables,15-08-2015
2524,other vegetables,5/12/2015
3523,chocolate,1/4/2015
3761,other vegetables,30-03-2015
1830,other vegetables,16-01-2015
4144,whole milk,1/4/2015
3803,tropical fruit,27-01-2015
4503,pip fruit,22-03-2015
2055,beverages,2/5/2015
3634,frozen vegetables,10/12/2015
4503,bottled water,9/8/2015
3756,pip fruit,2/12/2015
3071,frozen meals,13-06-2015
3168,ice cream,16-12-2015
2301,bottled water,24-12-2015
1270,napkins,25-04-2015
3999,domestic eggs,15-11-2015
1603,whole milk,13-07-2015
3089,citrus fruit,16-02-2015
4671,newspapers,30-05-2015
2985,whole milk,29-05-2015
3318,curd,21-07-2015
3954,onions,10/2/2015
1048,tropical fruit,18-10-2015
3586,waffles,24-05-2015
4431,pastry,16-11-2015
3977,yogurt,16-04-2015
1799,canned fish,13-06-2015
2609,coffee,26-08-2015
4187,specialty cheese,10/4/2015
3140,butter,11/2/2015
4942,sliced cheese,23-11-2015
3886,whole milk,18-11-2015
4453,yogurt,23-08-2015
1056,meat spreads,9/11/2015
2700,specialty cheese,18-10-2015
1049,herbs,5/9/2015
2446,tropical fruit,29-07-2015
4864,margarine,5/7/2015
1483,soda,25-04-2015
4158,hard cheese,26-12-2015
2212,butter milk,28-10-2015
1142,brown bread,13-06-2015
2273,bottled beer,26-10-2015
3741,whipped/sour cream,23-01-2015
3574,white wine,20-06-2015
3902,whole milk,29-11-2015
2169,whole milk,21-10-2015
3038,waffles,11/1/2015
2023,hard cheese,7/2/2015
1038,specialty chocolate,10/4/2015
3998,citrus fruit,23-01-2015
3516,whipped/sour cream,13-12-2015
1979,frozen vegetables,9/9/2015
3635,sliced cheese,13-12-2015
3966,root vegetables,1/6/2015
1430,yogurt,12/11/2015
2583,pip fruit,26-03-2015
2055,other vegetables,7/7/2015
1092,shopping bags,3/7/2015
4138,other vegetables,10/10/2015
1515,pasta,28-11-2015
3481,whole milk,4/10/2015
2426,white bread,2/6/2015
1886,rolls/buns,2/12/2015
4861,pudding powder,13-09-2015
2946,hygiene articles,4/11/2015
2349,bottled beer,17-07-2015
2326,whipped/sour cream,13-11-2015
2910,yogurt,19-07-2015
2103,dessert,11/3/2015
3260,UHT-milk,2/12/2015
1893,salty snack,4/4/2015
3352,misc. beverages,8/11/2015
4834,dessert,27-04-2015
2476,pip fruit,25-02-2015
1013,whole milk,2/7/2015
3004,liquor (appetizer),10/2/2015
1573,oil,21-01-2015
2089,hard cheese,31-10-2015
3077,butter milk,19-01-2015
3900,pasta,7/7/2015
2470,whole milk,14-05-2015
4785,cling film/bags,4/4/2015
2916,frozen vegetables,19-04-2015
3179,rolls/buns,21-03-2015
2285,tropical fruit,16-12-2015
2617,pastry,3/1/2015
1945,whipped/sour cream,24-04-2015
4601,other vegetables,15-12-2015
4722,other vegetables,13-10-2015
4605,yogurt,13-08-2015
4971,fruit/vegetable juice,19-02-2015
4725,cat food,1/9/2015
3872,brown bread,7/8/2015
4280,bottled water,2/5/2015
4544,root vegetables,21-01-2015
4839,root vegetables,3/6/2015
2785,whole milk,4/8/2015
1594,yogurt,23-01-2015
4675,rolls/buns,16-01-2015
1321,soda,13-04-2015
1535,flour,3/7/2015
4437,root vegetables,13-06-2015
2249,bottled water,29-05-2015
1785,berries,24-07-2015
4635,sugar,16-10-2015
4125,other vegetables,14-06-2015
3568,meat,11/8/2015
3575,bottled water,20-01-2015
2691,other vegetables,4/11/2015
3571,hygiene articles,17-06-2015
4648,bottled water,3/8/2015
2085,pip fruit,25-03-2015
4104,soda,1/1/2015
1143,spread cheese,27-01-2015
2228,shopping bags,30-05-2015
3746,whole milk,13-07-2015
3934,whipped/sour cream,27-03-2015
1329,frozen vegetables,29-03-2015
4689,domestic eggs,7/9/2015
3199,berries,24-12-2015
4778,oil,26-04-2015
1146,bottled beer,11/6/2015
4338,napkins,11/10/2015
1345,salt,21-07-2015
4441,rolls/buns,9/11/2015
2540,soda,16-02-2015
1997,bottled water,6/6/2015
2294,bottled beer,26-07-2015
1523,bottled water,28-03-2015
3165,other vegetables,18-08-2015
4831,herbs,12/4/2015
4073,bottled beer,2/11/2015
3661,other vegetables,25-07-2015
2019,brown bread,9/10/2015
1092,specialty bar,16-05-2015
4078,canned beer,14-11-2015
4753,long life bakery product,21-06-2015
1279,whole milk,10/9/2015
1012,rolls/buns,19-11-2015
2362,citrus fruit,23-11-2015
2789,butter,6/2/2015
3229,bottled water,7/8/2015
1715,curd,3/5/2015
4351,tropical fruit,16-01-2015
4397,other vegetables,27-06-2015
3653,pip fruit,21-10-2015
2730,frozen potato products,10/11/2015
4321,chicken,27-10-2015
1086,soda,17-11-2015
1708,chocolate,28-12-2015
4293,other vegetables,24-08-2015
4524,soda,22-04-2015
3783,hamburger meat,8/3/2015
1460,bottled water,24-06-2015
2960,other vegetables,19-12-2015
3442,butter milk,12/10/2015
4059,flour,7/5/2015
1822,rolls/buns,3/3/2015
1584,onions,10/7/2015
1624,napkins,4/2/2015
4877,other vegetables,6/11/2015
1567,bottled water,11/4/2015
2018,canned beer,4/1/2015
1182,shopping bags,1/9/2015
3401,bottled beer,2/8/2015
4547,white bread,18-01-2015
3547,other vegetables,21-10-2015
4831,yogurt,6/4/2015
2851,canned beer,1/1/2015
3072,spread cheese,28-02-2015
1398,whole milk,15-04-2015
1779,rolls/buns,28-10-2015
1823,bottled water,27-11-2015
3360,whipped/sour cream,14-11-2015
1565,other vegetables,15-10-2015
4321,white bread,8/5/2015
1293,pip fruit,5/3/2015
3331,shopping bags,25-07-2015
2408,white bread,19-05-2015
2742,spread cheese,10/10/2015
3934,cling film/bags,1/5/2015
4742,hard cheese,22-06-2015
4405,chocolate,22-07-2015
3229,whipped/sour cream,25-03-2015
2817,pastry,22-12-2015
2741,frozen dessert,17-02-2015
3562,ice cream,30-12-2015
4442,fruit/vegetable juice,10/6/2015
2022,hard cheese,5/2/2015
4380,coffee,3/11/2015
3687,misc. beverages,22-12-2015
2077,butter,7/5/2015
3273,snack products,15-03-2015
3736,other vegetables,27-11-2015
3190,beverages,28-03-2015
3295,hamburger meat,28-07-2015
3276,frozen vegetables,30-06-2015
4405,whole milk,6/1/2015
4266,butter,31-07-2015
1372,tropical fruit,25-06-2015
1242,sugar,13-12-2015
4820,rolls/buns,1/5/2015
4702,brown bread,8/11/2015
3687,chocolate marshmallow,16-07-2015
4115,pastry,20-03-2015
2236,whole milk,3/2/2015
1026,candy,15-03-2015
2678,whole milk,20-03-2015
1934,rolls/buns,4/8/2015
3525,chicken,14-02-2015
1354,newspapers,29-11-2015
2782,bottled water,9/4/2015
4456,onions,16-05-2015
4869,pastry,3/4/2015
2454,UHT-milk,26-08-2015
4222,beef,20-08-2015
1358,whole milk,11/9/2015
3393,pip fruit,15-02-2015
1615,pastry,3/12/2015
4734,tropical fruit,12/7/2015
4946,hard cheese,4/11/2015
2419,whole milk,22-08-2015
4989,root vegetables,3/6/2015
2961,newspapers,27-05-2015
2707,brown bread,7/3/2015
2010,soda,6/11/2015
1502,UHT-milk,16-04-2015
2600,whole milk,29-04-2015
3603,tropical fruit,30-01-2015
4352,yogurt,14-04-2015
1477,root vegetables,16-05-2015
4938,frozen vegetables,24-11-2015
2745,root vegetables,27-01-2015
2738,red/blush wine,9/11/2015
4170,domestic eggs,19-01-2015
3776,citrus fruit,17-05-2015
1062,whole milk,18-09-2015
1546,bottled water,3/1/2015
2020,yogurt,19-11-2015
2366,pip fruit,18-01-2015
1107,rolls/buns,3/1/2015
1407,whole milk,29-07-2015
3718,brown bread,26-02-2015
4808,meat spreads,26-07-2015
2940,root vegetables,21-05-2015
3048,liquor (appetizer),10/12/2015
3165,whole milk,15-06-2015
4306,whole milk,28-12-2015
4302,rolls/buns,5/11/2015
4516,yogurt,29-03-2015
3582,whole milk,31-03-2015
1534,other vegetables,10/7/2015
1844,specialty chocolate,24-07-2015
1218,yogurt,5/7/2015
4482,rolls/buns,30-11-2015
2574,other vegetables,11/12/2015
2767,root vegetables,27-01-2015
2794,photo/film,29-09-2015
4228,pip fruit,26-03-2015
3062,bottled water,8/6/2015
2365,pip fruit,21-06-2015
3775,brown bread,7/7/2015
2232,citrus fruit,6/5/2015
4156,bottled beer,3/8/2015
3643,pastry,20-09-2015
3470,bottled beer,4/10/2015
2602,newspapers,11/12/2015
4796,whole milk,10/6/2015
3289,candy,9/8/2015
4470,frozen vegetables,31-03-2015
2502,whole milk,7/2/2015
2205,rolls/buns,7/3/2015
3201,sugar,21-01-2015
2882,domestic eggs,25-06-2015
2757,onions,16-12-2015
3679,rolls/buns,30-08-2015
2380,pastry,12/2/2015
1825,soda,6/10/2015
2868,whole milk,18-07-2015
2709,rolls/buns,20-08-2015
4585,specialty cheese,16-07-2015
2634,other vegetables,22-04-2015
4832,whole milk,3/12/2015
2032,dessert,28-07-2015
2061,tropical fruit,27-12-2015
2210,whole milk,13-01-2015
2346,cat food,5/8/2015
4315,butter,26-04-2015
4166,pastry,26-07-2015
3907,other vegetables,25-10-2015
2706,white wine,22-03-2015
2855,whole milk,5/8/2015
2074,waffles,10/4/2015
2840,rolls/buns,27-05-2015
2247,fruit/vegetable juice,31-05-2015
4063,pastry,14-07-2015
4780,whole milk,3/7/2015
1081,newspapers,6/3/2015
4843,dishes,2/3/2015
3246,beef,27-08-2015
4009,dish cleaner,14-07-2015
3697,UHT-milk,3/10/2015
4579,root vegetables,29-10-2015
3803,berries,6/10/2015
4108,rolls/buns,21-07-2015
1664,whole milk,1/4/2015
4179,brandy,6/3/2015
4172,whole milk,18-02-2015
2851,canned beer,17-02-2015
3385,yogurt,22-06-2015
1303,margarine,8/9/2015
4487,tropical fruit,22-01-2015
2392,onions,23-03-2015
4218,root vegetables,3/10/2015
2891,white bread,2/7/2015
4474,specialty bar,10/12/2015
4437,rolls/buns,28-07-2015
2648,margarine,8/11/2015
1081,yogurt,3/5/2015
3071,photo/film,21-01-2015
3409,red/blush wine,20-05-2015
2768,pip fruit,1/1/2015
3424,rolls/buns,16-08-2015
4610,brown bread,19-04-2015
3090,other vegetables,4/11/2015
4585,tropical fruit,1/5/2015
4388,newspapers,20-03-2015
3751,citrus fruit,1/1/2015
2650,soda,11/5/2015
4282,other vegetables,23-06-2015
3273,beef,26-09-2015
2983,soda,11/9/2015
2075,root vegetables,20-01-2015
2841,domestic eggs,20-12-2015
1562,pork,11/5/2015
4619,ice cream,16-06-2015
3122,bottled beer,31-10-2015
1790,misc. beverages,29-03-2015
4395,misc. beverages,8/6/2015
3074,margarine,13-04-2015
3797,cream,20-01-2015
4958,oil,11/7/2015
3752,other vegetables,8/2/2015
1277,rolls/buns,1/12/2015
4403,other vegetables,20-09-2015
2272,frozen vegetables,5/9/2015
3443,pip fruit,18-04-2015
4667,condensed milk,19-07-2015
2902,pastry,6/6/2015
1494,whole milk,25-06-2015
2231,margarine,8/5/2015
1917,herbs,29-07-2015
2144,other vegetables,5/1/2015
2656,bottled beer,16-12-2015
1881,domestic eggs,5/6/2015
4764,pip fruit,27-09-2015
2755,whole milk,17-05-2015
2361,frozen vegetables,27-02-2015
2311,other vegetables,1/11/2015
3937,butter,4/5/2015
4932,beverages,17-07-2015
3304,soda,28-03-2015
1133,domestic eggs,3/8/2015
2843,pasta,14-12-2015
2719,whole milk,30-05-2015
2678,whipped/sour cream,4/4/2015
2211,newspapers,29-11-2015
4682,root vegetables,19-03-2015
1696,mustard,4/10/2015
2061,flower (seeds),12/2/2015
1385,curd,21-06-2015
4302,cream cheese ,8/3/2015
4113,margarine,27-04-2015
1122,frozen vegetables,25-06-2015
4508,root vegetables,7/10/2015
4688,other vegetables,3/8/2015
3906,pasta,16-06-2015
2847,chicken,18-05-2015
3402,pasta,29-03-2015
2039,sparkling wine,22-09-2015
4228,shopping bags,4/4/2015
3622,spread cheese,29-08-2015
2643,dessert,8/11/2015
3406,pork,13-09-2015
4537,rolls/buns,22-01-2015
1326,frozen vegetables,7/2/2015
3490,beverages,9/7/2015
1277,shopping bags,2/3/2015
1599,soda,13-10-2015
2013,other vegetables,7/2/2015
2613,rolls/buns,24-05-2015
1705,soda,12/10/2015
4571,newspapers,3/3/2015
3432,beverages,25-02-2015
3641,frozen meals,27-12-2015
4232,liquor,14-11-2015
3614,pastry,28-04-2015
1120,brown bread,14-07-2015
4345,pip fruit,28-01-2015
3663,bottled beer,4/1/2015
2147,waffles,12/11/2015
4718,salty snack,4/9/2015
2825,whole milk,14-08-2015
3195,rolls/buns,14-06-2015
1910,salt,30-10-2015
4170,rolls/buns,8/1/2015
4576,newspapers,17-09-2015
1959,root vegetables,9/7/2015
2729,red/blush wine,6/1/2015
1811,white wine,18-03-2015
4548,specialty bar,30-07-2015
4463,root vegetables,15-08-2015
3908,pot plants,10/7/2015
3579,long life bakery product,24-05-2015
2226,yogurt,6/1/2015
3701,decalcifier,27-04-2015
4149,pasta,20-03-2015
3011,rolls/buns,22-06-2015
2324,canned beer,18-08-2015
3778,rolls/buns,3/12/2015
3837,other vegetables,12/5/2015
3587,sugar,6/1/2015
3885,rolls/buns,15-10-2015
2271,white bread,17-01-2015
4134,specialty chocolate,14-06-2015
4936,spread cheese,15-03-2015
4084,semi-finished bread,3/11/2015
1054,other vegetables,21-10-2015
2553,organic products,20-07-2015
1513,bottled beer,12/11/2015
1088,hard cheese,9/11/2015
3724,frozen potato products,11/12/2015
3054,bottled beer,17-02-2015
2281,instant coffee,27-10-2015
4353,canned vegetables,12/6/2015
2131,other vegetables,27-08-2015
2876,other vegetables,9/9/2015
4395,candy,25-02-2015
2438,citrus fruit,20-02-2015
2690,liquor,17-10-2015
4362,sugar,2/3/2015
1777,tropical fruit,21-04-2015
1659,tropical fruit,10/3/2015
4244,oil,31-10-2015
2165,coffee,27-04-2015
4809,whole milk,4/2/2015
3715,rolls/buns,6/4/2015
1562,beef,22-01-2015
2676,bottled water,7/11/2015
3339,margarine,13-04-2015
1565,domestic eggs,12/12/2015
4835,pip fruit,28-10-2015
3996,other vegetables,31-08-2015
2499,root vegetables,18-02-2015
1361,liquor,6/7/2015
4418,processed cheese,13-01-2015
4610,dessert,22-01-2015
3160,processed cheese,6/5/2015
2779,rolls/buns,1/12/2015
4154,soda,2/7/2015
2034,butter milk,11/10/2015
2601,other vegetables,20-05-2015
2511,whole milk,16-03-2015
4246,whole milk,1/12/2015
4231,salty snack,11/1/2015
2100,tropical fruit,19-09-2015
2380,whole milk,1/6/2015
2324,packaged fruit/vegetables,14-05-2015
1473,mustard,2/10/2015
3824,whole milk,12/2/2015
3289,curd,26-12-2015
1220,ice cream,29-12-2015
1923,other vegetables,30-04-2015
3612,brown bread,13-06-2015
2682,bottled beer,28-06-2015
4560,waffles,3/7/2015
4531,onions,16-10-2015
1379,herbs,7/7/2015
4826,whole milk,17-01-2015
1763,frozen vegetables,3/12/2015
1094,whole milk,8/9/2015
1729,whole milk,1/8/2015
4497,onions,7/6/2015
1893,root vegetables,18-01-2015
3478,rolls/buns,2/4/2015
2295,pip fruit,28-12-2015
1833,dessert,24-07-2015
3307,other vegetables,3/3/2015
3562,salty snack,18-03-2015
3145,cake bar,16-11-2015
3595,whole milk,17-12-2015
4934,other vegetables,17-03-2015
3386,yogurt,3/2/2015
4125,yogurt,21-03-2015
2570,roll products ,19-03-2015
3613,other vegetables,5/10/2015
3292,dessert,31-07-2015
1409,snack products,2/7/2015
3315,candy,19-11-2015
3486,yogurt,29-01-2015
1256,coffee,2/8/2015
2523,other vegetables,4/7/2015
1432,grapes,4/8/2015
4819,rolls/buns,1/10/2015
4455,whole milk,30-06-2015
3467,citrus fruit,27-11-2015
1991,nuts/prunes,22-10-2015
4862,soft cheese,15-05-2015
3225,frozen vegetables,25-02-2015
3296,other vegetables,27-06-2015
4179,cat food,21-03-2015
4641,pip fruit,6/7/2015
3411,margarine,19-06-2015
1932,UHT-milk,15-03-2015
1324,whole milk,10/4/2015
4787,whole milk,12/8/2015
1497,margarine,10/10/2015
3666,specialty chocolate,12/4/2015
4338,onions,6/9/2015
4159,tropical fruit,28-12-2015
4558,dental care,3/4/2015
4680,pip fruit,27-08-2015
4303,semi-finished bread,25-09-2015
4595,frozen meals,7/8/2015
2600,other vegetables,16-12-2015
3830,ice cream,7/4/2015
2073,herbs,14-05-2015
1847,semi-finished bread,14-02-2015
1223,rum,30-11-2015
3297,dessert,8/2/2015
2818,whole milk,22-11-2015
2507,coffee,30-12-2015
3358,soda,19-03-2015
1930,mayonnaise,18-04-2015
2764,tropical fruit,28-12-2015
3025,tea,16-06-2015
2201,butter milk,3/5/2015
3982,yogurt,25-07-2015
2117,bottled water,28-03-2015
2706,other vegetables,12/2/2015
4924,specialty bar,26-08-2015
3851,butter,10/5/2015
4036,whole milk,26-05-2015
2202,tidbits,28-09-2015
1574,brown bread,12/2/2015
1417,pot plants,13-07-2015
3204,shopping bags,8/5/2015
3445,cream cheese ,1/10/2015
3748,spread cheese,5/3/2015
4061,berries,9/5/2015
2855,soda,9/9/2015
4548,root vegetables,28-07-2015
3881,canned beer,7/4/2015
3864,specialty bar,12/12/2015
2766,oil,19-08-2015
3953,pip fruit,13-05-2015
4526,rolls/buns,24-08-2015
1468,other vegetables,9/10/2015
4982,pastry,1/8/2015
3450,meat,27-04-2015
1330,soda,2/11/2015
4456,other vegetables,17-04-2015
4606,bottled beer,30-03-2015
3773,soda,27-11-2015
4593,other vegetables,12/2/2015
2244,yogurt,28-01-2015
4296,yogurt,26-08-2015
3296,root vegetables,2/3/2015
1114,UHT-milk,10/7/2015
3480,misc. beverages,7/5/2015
3842,white bread,14-10-2015
1715,specialty chocolate,21-05-2015
4052,whole milk,21-04-2015
2663,berries,28-05-2015
1861,other vegetables,19-05-2015
2181,roll products ,23-06-2015
2319,yogurt,10/5/2015
4277,rolls/buns,6/12/2015
2193,liquor (appetizer),7/1/2015
3589,tropical fruit,5/10/2015
3144,pet care,19-06-2015
4044,margarine,26-08-2015
4048,rolls/buns,8/5/2015
2272,waffles,31-01-2015
4637,pastry,14-05-2015
3640,white wine,26-01-2015
2599,tropical fruit,22-11-2015
1363,margarine,14-10-2015
3560,bottled beer,27-09-2015
1228,beverages,23-02-2015
3749,napkins,9/3/2015
1358,vinegar,29-12-2015
2586,cling film/bags,26-10-2015
4626,rolls/buns,24-12-2015
1857,pip fruit,10/9/2015
2646,root vegetables,11/11/2015
4242,whole milk,9/12/2015
2344,root vegetables,14-02-2015
1646,sliced cheese,15-08-2015
3450,pork,8/3/2015
4645,soda,29-12-2015
3154,root vegetables,10/4/2015
2037,grapes,19-04-2015
2078,pork,16-10-2015
2444,yogurt,12/5/2015
2100,citrus fruit,13-10-2015
4689,UHT-milk,4/6/2015
4430,hamburger meat,22-02-2015
1997,pip fruit,26-10-2015
3414,bottled beer,5/2/2015
2289,ice cream,6/9/2015
3137,other vegetables,24-08-2015
1696,whole milk,1/3/2015
1332,rolls/buns,3/4/2015
4748,root vegetables,24-03-2015
4505,dishes,17-04-2015
4336,whipped/sour cream,27-04-2015
2800,sauces,17-03-2015
4456,dessert,21-03-2015
3537,semi-finished bread,12/7/2015
1331,whipped/sour cream,29-04-2015
1140,other vegetables,26-06-2015
1976,root vegetables,14-10-2015
3353,yogurt,13-04-2015
2190,rolls/buns,14-05-2015
3221,soda,29-06-2015
4878,packaged fruit/vegetables,21-09-2015
2291,roll products ,20-09-2015
2542,yogurt,8/3/2015
3770,long life bakery product,13-01-2015
3892,herbs,20-07-2015
2515,shopping bags,22-07-2015
4687,fruit/vegetable juice,13-01-2015
3743,sliced cheese,6/5/2015
1031,other vegetables,15-10-2015
4245,yogurt,4/6/2015
1851,whole milk,29-06-2015
1788,berries,20-12-2015
3166,waffles,15-01-2015
4108,yogurt,27-09-2015
4078,specialty chocolate,25-04-2015
1784,curd,26-09-2015
4001,soda,21-06-2015
3202,butter,14-11-2015
1939,whole milk,15-07-2015
2530,other vegetables,30-08-2015
2893,canned fish,12/12/2015
3666,other vegetables,16-02-2015
1123,soda,12/11/2015
1098,napkins,7/5/2015
4319,UHT-milk,21-05-2015
4761,other vegetables,1/3/2015
3790,domestic eggs,26-07-2015
4296,chicken,28-07-2015
4450,condensed milk,30-07-2015
2434,coffee,18-09-2015
3779,white bread,10/11/2015
1613,canned vegetables,3/8/2015
3209,newspapers,28-12-2015
4895,domestic eggs,7/9/2015
1654,shopping bags,25-03-2015
1126,whole milk,29-04-2015
1254,specialty bar,19-04-2015
3168,flour,2/5/2015
1892,citrus fruit,30-09-2015
1936,dishes,20-05-2015
3132,yogurt,30-07-2015
4316,other vegetables,11/1/2015
4375,domestic eggs,5/10/2015
3468,vinegar,8/7/2015
2488,onions,19-08-2015
1769,whole milk,30-12-2015
4937,coffee,10/4/2015
3389,cream cheese ,17-08-2015
1439,whole milk,13-08-2015
2542,root vegetables,24-11-2015
2065,other vegetables,22-01-2015
3830,packaged fruit/vegetables,10/7/2015
3686,pip fruit,1/4/2015
2774,soda,28-10-2015
2204,detergent,16-07-2015
4833,pip fruit,10/3/2015
1477,rolls/buns,8/2/2015
4697,bottled water,11/9/2015
2435,beef,29-09-2015
2164,semi-finished bread,19-03-2015
3557,bottled water,2/2/2015
4319,fruit/vegetable juice,8/11/2015
3615,spread cheese,13-08-2015
1902,ice cream,21-10-2015
4390,coffee,20-01-2015
1985,whole milk,26-11-2015
1265,tropical fruit,29-09-2015
2023,bottled beer,31-08-2015
4288,ham,25-09-2015
2261,packaged fruit/vegetables,29-06-2015
3073,nut snack,17-01-2015
2406,whole milk,4/9/2015
3983,butter milk,20-07-2015
1737,liquor,23-01-2015
1304,whipped/sour cream,30-04-2015
4227,coffee,20-08-2015
3987,pastry,17-06-2015
4127,herbs,12/11/2015
1734,rum,20-03-2015
2770,coffee,15-07-2015
1454,tropical fruit,13-01-2015
2256,whipped/sour cream,21-08-2015
2625,specialty bar,18-11-2015
4335,whole milk,5/12/2015
3738,waffles,24-05-2015
2394,whole milk,19-08-2015
1927,white wine,15-05-2015
3681,soft cheese,14-10-2015
2435,whole milk,30-08-2015
1728,bottled water,15-08-2015
4708,other vegetables,14-04-2015
1010,candles,31-07-2015
3735,seasonal products,20-04-2015
3331,ice cream,19-05-2015
2383,long life bakery product,5/10/2015
1160,tropical fruit,20-11-2015
4890,whole milk,22-04-2015
3513,waffles,29-05-2015
2525,soda,14-01-2015
3708,other vegetables,3/9/2015
4746,cake bar,6/6/2015
4784,coffee,11/9/2015
2051,domestic eggs,2/1/2015
4745,rolls/buns,12/4/2015
4364,dessert,17-01-2015
1493,whole milk,23-02-2015
1330,berries,18-05-2015
1777,pastry,10/7/2015
2633,rolls/buns,10/7/2015
1917,yogurt,23-01-2015
4891,butter,9/1/2015
3828,canned fish,15-06-2015
2282,margarine,11/5/2015
2743,specialty cheese,10/8/2015
2704,red/blush wine,18-11-2015
4170,red/blush wine,11/7/2015
3867,skin care,7/9/2015
2592,fruit/vegetable juice,23-04-2015
1894,soda,3/10/2015
2348,frozen vegetables,8/9/2015
3747,butter,24-02-2015
4220,rolls/buns,21-08-2015
4504,citrus fruit,4/9/2015
3175,soda,23-11-2015
4240,frozen dessert,28-06-2015
4608,frozen vegetables,25-11-2015
3053,brown bread,3/12/2015
4096,butter milk,29-06-2015
2517,yogurt,28-01-2015
1899,liquor,24-10-2015
2934,whipped/sour cream,11/5/2015
2508,cleaner,27-12-2015
1527,frozen vegetables,14-05-2015
1431,bottled water,7/11/2015
4148,butter milk,9/2/2015
3862,yogurt,5/3/2015
3402,mayonnaise,11/4/2015
3178,whole milk,8/12/2015
2134,liquor (appetizer),26-09-2015
1038,herbs,23-04-2015
4780,condensed milk,19-09-2015
1251,dessert,26-11-2015
4293,misc. beverages,30-09-2015
3676,canned beer,24-10-2015
2992,pet care,9/11/2015
4124,frozen vegetables,22-05-2015
4756,frozen fish,18-09-2015
1422,whole milk,4/10/2015
1229,whipped/sour cream,20-03-2015
4733,nuts/prunes,19-01-2015
2053,cream cheese ,17-09-2015
4230,root vegetables,15-03-2015
3968,newspapers,12/11/2015
4935,root vegetables,2/4/2015
2290,hamburger meat,12/1/2015
2143,tropical fruit,25-07-2015
3657,soda,22-01-2015
4369,whole milk,25-08-2015
2639,citrus fruit,12/11/2015
2706,whole milk,14-08-2015
2133,whole milk,5/8/2015
3635,chocolate,23-07-2015
2734,shopping bags,30-03-2015
1080,frozen vegetables,14-05-2015
4413,spread cheese,11/10/2015
1729,whole milk,28-08-2015
2167,mayonnaise,18-10-2015
1391,rolls/buns,19-03-2015
3347,canned beer,5/6/2015
4091,waffles,28-12-2015
4589,frozen vegetables,10/7/2015
3590,shopping bags,27-02-2015
4147,newspapers,2/1/2015
4187,sliced cheese,14-09-2015
2613,yogurt,11/4/2015
4197,pastry,3/11/2015
4553,coffee,13-06-2015
3045,coffee,26-03-2015
2079,whole milk,19-07-2015
1108,whole milk,30-07-2015
4306,brown bread,26-04-2015
2761,whipped/sour cream,2/3/2015
3931,bottled beer,8/3/2015
4351,red/blush wine,8/5/2015
2788,onions,3/9/2015
3962,yogurt,28-05-2015
3690,pork,21-05-2015
4937,other vegetables,28-06-2015
2544,frozen potato products,20-01-2015
2439,salty snack,31-10-2015
2952,bottled beer,11/8/2015
1472,bottled water,19-09-2015
3781,frozen dessert,21-04-2015
1079,onions,9/9/2015
4636,sauces,5/1/2015
